"","esFraude","tipo","hora","cantidad","saldoOrigenAntes","saldoOrigenDespues","destino","saldoDestinoAntes","saldoDestinoDespues"
"1","No","CASH_IN",1,839300.36,4776368.76,5615669.12,"C",2383291.2,1412484.09
"2","No","PAYMENT",1,1461.06,226,0,"M",0,0
"3","Si","TRANSFER",1,1277212.77,1277212.77,0,"C",0,0
"4","Si","CASH_OUT",1,1277212.77,1277212.77,0,"C",0,2444985.19
"5","No","PAYMENT",2,2478.71,244356.03,241877.32,"M",0,0
"6","Si","CASH_OUT",2,963532.14,963532.14,0,"C",132382.57,1095914.71
"7","Si","TRANSFER",2,18627.02,18627.02,0,"C",0,0
"8","Si","TRANSFER",2,963532.14,963532.14,0,"C",0,0
"9","No","CASH_OUT",3,76289.1,300349.25,224060.15,"C",5995169.66,5792135.89
"10","No","PAYMENT",4,1150.8,30766,29615.2,"M",0,0
"11","Si","TRANSFER",4,169941.73,169941.73,0,"C",0,0
"12","No","PAYMENT",6,22688.2,426,0,"M",0,0
"13","Si","CASH_OUT",6,85354.69,85354.69,0,"C",11170,10612.55
"14","Si","CASH_OUT",6,25975.86,25975.86,0,"C",98152,28041.27
"15","Si","TRANSFER",6,13704,13704,0,"C",0,1658746.09
"16","Si","TRANSFER",6,30521.02,30521.02,0,"C",0,0
"17","Si","TRANSFER",6,26768.5,26768.5,0,"C",0,0
"18","No","DEBIT",7,5541.9,62048,56506.1,"C",40407,90711.57
"19","No","CASH_OUT",7,227626.61,0,0,"C",3418216.56,4324988.42
"20","No","PAYMENT",7,1724.87,0,0,"M",0,0
"21","No","PAYMENT",7,5057.73,14445,9387.27,"M",0,0
"22","No","CASH_IN",7,292124.28,1949417.8,2241542.08,"C",735634.77,1278933.03
"23","No","CASH_OUT",7,306323.63,0,0,"C",1053942.57,1674676.75
"24","No","CASH_IN",7,137211.82,4048858.2,4186070.02,"C",202938,1031613.74
"25","No","PAYMENT",7,2273.94,49705.71,47431.77,"M",0,0
"26","No","PAYMENT",7,7946.96,14831,6884.04,"M",0,0
"27","No","CASH_OUT",7,34798.28,0,0,"C",112759,0
"28","No","PAYMENT",7,3136.28,15358,12221.72,"M",0,0
"29","Si","TRANSFER",7,441445.58,441445.58,0,"C",0,0
"30","Si","CASH_OUT",7,5460002.91,5460002.91,0,"C",0,9281535.44
"31","Si","TRANSFER",7,164,164,0,"C",0,0
"32","Si","TRANSFER",7,21571,21571,0,"C",0,0
"33","No","CASH_IN",8,315258.89,3969501.4,4284760.29,"C",351638,36379.11
"34","No","CASH_OUT",8,148334.29,0,0,"C",6308760.05,6457094.34
"35","No","CASH_IN",8,234860.8,80460.61,315321.4,"C",1009768.74,851662.52
"36","No","TRANSFER",8,1215859.35,143196.95,0,"C",2027188.76,5038549.2
"37","No","CASH_OUT",8,243662.68,0,0,"C",11334261.48,11785641.38
"38","No","CASH_IN",8,69086.84,7101646.31,7170733.15,"C",586596.75,517509.91
"39","No","PAYMENT",8,3308.54,30293.25,26984.71,"M",0,0
"40","No","PAYMENT",8,6435.35,0,0,"M",0,0
"41","No","TRANSFER",8,270874.51,78580.72,0,"C",1058067.4,1248456.29
"42","No","CASH_OUT",8,128890.43,254508.22,125617.79,"C",14441.37,143331.8
"43","No","TRANSFER",8,392119.44,0,0,"C",1765704.49,3258726.36
"44","No","TRANSFER",8,477785.1,0,0,"C",542535.38,948711.06
"45","No","PAYMENT",8,23639.95,0,0,"M",0,0
"46","No","CASH_OUT",8,173533.55,123458.32,0,"C",78358.96,384051.79
"47","No","TRANSFER",8,1893337.96,183611,0,"C",49418.08,1536473
"48","No","PAYMENT",8,19142.69,0,0,"M",0,0
"49","No","PAYMENT",8,11833.3,12057,223.7,"M",0,0
"50","No","PAYMENT",8,16216.72,6915.39,0,"M",0,0
"51","No","PAYMENT",8,9416.88,9559,142.12,"M",0,0
"52","No","CASH_IN",8,192931.65,3149026.07,3341957.72,"C",544154.08,351222.43
"53","No","TRANSFER",8,1966746.31,56202,0,"C",0,5812262.37
"54","No","PAYMENT",8,17617.11,0,0,"M",0,0
"55","No","PAYMENT",8,15619.01,10383,0,"M",0,0
"56","No","PAYMENT",8,13295.07,10744,0,"M",0,0
"57","No","CASH_IN",8,27386.54,60054,87440.54,"C",0,0
"58","Si","TRANSFER",8,222,222,0,"C",0,267095.19
"59","No","CASH_OUT",9,216660.43,0,0,"C",0,216660.43
"60","No","CASH_IN",9,289965.12,246,290211.12,"C",0,0
"61","No","TRANSFER",9,897435.38,0,0,"C",18293001.2,19190436.58
"62","No","CASH_IN",9,250427.23,29795,280222.23,"C",474510.22,0
"63","No","PAYMENT",9,710.54,298598,297887.46,"M",0,0
"64","No","CASH_IN",9,2029.02,4882683.25,4884712.27,"C",689043.8,813231.01
"65","No","CASH_OUT",9,81705.51,0,0,"C",106975,0
"66","No","CASH_IN",9,121383.56,9425874.17,9547257.74,"C",346408.81,30127.25
"67","No","CASH_OUT",9,517131.11,0,0,"C",3820512.83,4678941.51
"68","No","CASH_IN",9,89261.89,742746.46,832008.36,"C",238041.74,2951659.19
"69","No","PAYMENT",9,35388.62,847362.01,811973.39,"M",0,0
"70","No","PAYMENT",9,12763.28,0,0,"M",0,0
"71","No","CASH_OUT",9,81302.8,29726.96,0,"C",115455,347628.82
"72","No","PAYMENT",9,19687.94,0,0,"M",0,0
"73","No","PAYMENT",9,4984.52,0,0,"M",0,0
"74","No","PAYMENT",9,4187.39,912,0,"M",0,0
"75","No","PAYMENT",9,22147.59,0,0,"M",0,0
"76","No","CASH_IN",9,358024.68,3774526.42,4132551.1,"C",13723446.45,13214550.33
"77","No","CASH_OUT",9,106208.01,875,0,"C",8389,186083.21
"78","No","CASH_IN",9,63986.72,11361,75347.72,"C",17094.69,0
"79","No","CASH_OUT",9,37972.4,0,0,"C",1260071.34,3215045.94
"80","No","PAYMENT",9,31404.3,0,0,"M",0,0
"81","No","PAYMENT",9,8428.97,36026,27597.03,"M",0,0
"82","No","PAYMENT",9,8074.43,0,0,"M",0,0
"83","No","CASH_IN",9,63633.9,10614872,10678505.9,"C",153778.04,0
"84","No","CASH_OUT",9,259407.92,2208,0,"C",0,150552.98
"85","No","CASH_IN",9,308985.85,151250.35,460236.2,"C",0,0
"86","No","CASH_OUT",9,91614.69,152,0,"C",0,91614.69
"87","No","CASH_IN",9,63732.75,7034660.05,7098392.79,"C",82181,0
"88","No","CASH_OUT",9,80001.26,140884,60882.74,"C",2306013.31,4654774.36
"89","No","PAYMENT",9,6582.4,297466.49,290884.09,"M",0,0
"90","No","CASH_OUT",9,36062.45,0,0,"C",169040,205102.45
"91","No","PAYMENT",9,23127.26,0,0,"M",0,0
"92","No","TRANSFER",9,615284.08,0,0,"C",4365977.94,5207474.78
"93","No","CASH_IN",9,32091.83,5917341.63,5949433.46,"C",33297,0
"94","No","PAYMENT",9,8193.22,0,0,"M",0,0
"95","No","PAYMENT",9,5860.05,32362,26501.95,"M",0,0
"96","No","PAYMENT",9,13708.79,0,0,"M",0,0
"97","No","TRANSFER",9,824643.49,348480.48,0,"C",6270183.94,8852678.81
"98","No","PAYMENT",9,12071.69,141989.73,129918.04,"M",0,0
"99","No","CASH_OUT",9,228029.07,0,0,"C",832857.4,927133.86
"100","Si","TRANSFER",9,350705.74,350705.74,0,"C",0,1184633.07
"101","Si","TRANSFER",9,994453.2,1437370.87,442917.67,"C",194812.76,665743.67
"102","Si","CASH_OUT",9,556218.01,556218.01,0,"C",0,582265.81
"103","Si","TRANSFER",9,21922,21922,0,"C",0,0
"104","Si","TRANSFER",9,1154353.99,1154353.99,0,"C",0,10872.9
"105","No","CASH_IN",10,217655.09,63516,281171.09,"C",0,164693.72
"106","No","PAYMENT",10,12010.87,334565.74,322554.87,"M",0,0
"107","No","CASH_IN",10,8457.77,9909,18366.77,"C",0,0
"108","No","CASH_OUT",10,14950.26,0,0,"C",2639072.99,4136482.66
"109","No","CASH_OUT",10,88728.77,0,0,"C",100872.15,189600.92
"110","No","PAYMENT",10,6252.36,88589,82336.64,"M",0,0
"111","No","CASH_OUT",10,76231.49,0,0,"C",78648.95,154880.44
"112","No","PAYMENT",10,26033.91,749191.97,723158.06,"M",0,0
"113","No","PAYMENT",10,5937.01,482922.17,476985.16,"M",0,0
"114","No","TRANSFER",10,313402.47,0,0,"C",2013784.73,1255720.87
